Year,FPL,FCO,FIV,TIV,HHW,FDE,FHB,THB,FHG,THG,FHS,FHE,BHP,FPB,TPB,FPM,FPR,RAY,SHR,REP,CRS,CRN,BFF,BC,BM,BD,CEP,BG,BSS,ZD,ZH,ZC,TRF,MA,CCA,PS,PL,PB,BB,DL,DR,DC,NO3,NH3,Coral_Mass_Cover,Coral_Bran_Cover,Rugosity,AragoniteSaturation
1985,173,24,149,662.6428764,31.50975216,121,5,997.7832291,108,126.2800716,505.1202865,219.9218441,27.44630531,12,363.1865329,51.21323404,188.6194236,14,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1986,172,24,148,758.3552877,6.987838594,120,5,587.6726367,107,163.6326519,654.5306076,100,0.1,12,738.8168738,102.8522232,157.2109325,14,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1987,170,24,147,637.4613272,18.84861684,120,5,1050.276231,106,266.6960203,1066.784081,5.443643852,0.1,12,397.9601355,6.289109788,310.4599399,14,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1988,169,24,146,848.26866,20.7929268,119,5,1221.338116,106,357.0875999,1428.3504,8.669835785,0.1,12,347.1076556,33.85318577,342.342457,14,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1989,168,24,145,928.6487664,18.54385364,118,5,587.9485506,105,263.7229817,1054.891927,12.80570625,0.1,12,241.363926,27.3221483,183.5495446,14,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1990,167,24,144,803.5773735,7.072877965,117,5,648.2602245,104,429.0670459,1716.268184,12.36102685,0.1,12,742.1724204,54.31344888,256.7594116,14,17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1991,166,23,143,634.4348191,1.114095995,116,5,528.5108569,104,169.2337526,676.9350103,58.09496414,0.1,12,394.7113559,64.3081918,238.4418243,14,17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1992,165,23,142,723.7836756,0.5,115,5,581.8345986,103,182.6847453,730.7389813,25.91479653,0.1,11,308.7440179,21.87791637,193.4333641,14,17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1993,163,23,141,576.0330857,0.5,115,5,235.5991798,102,148.3641946,593.4567785,30.15657005,0.1,11,462.1979548,25.37371972,168.7714167,14,17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1994,162,23,140,322.2114809,0.812342256,114,5,336.4450842,101,104.1630458,416.6521832,17.44537856,0.1,11,303.8146892,29.17018512,109.3504689,14,17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
