"","Time","Prey","startN","mL","mQ","implicitMortality","TotalPredMort","PRM","species","predation.mortality"
"1","1.971000e+004","PB",645420800000,0,0,0,1.802327e-06,"PRM46","FPL",2.053481e-11
"2","1.971000e+004","PB",6.3774e+11,0,0,0,0,"PRM46","FPL",0
"3","1.971000e+004","PB",593420100000,0,0,0,6.312777e-05,"PRM55","FPL",2.941442e-10
"4","1.971000e+004","PB",584493900000,0,0,0,0,"PRM55","FPL",0
"5","1.971000e+004","PB",645420800000,0,0,0,1.802327e-06,"PRM46","FPO",9.577348e-11
"6","1.971000e+004","PB",6.3774e+11,0,0,0,0,"PRM46","FPO",0
"7","1.971000e+004","PB",593420100000,0,0,0,6.312777e-05,"PRM55","FPO",2.226914e-10
"8","1.971000e+004","PB",584493900000,0,0,0,0,"PRM55","FPO",0
"9","1.971000e+004","PB",645420800000,0,0,0,1.802327e-06,"PRM46","FPS",0
"10","1.971000e+004","PB",6.3774e+11,0,0,0,0,"PRM46","FPS",0
"11","1.971000e+004","PB",593420100000,0,0,0,6.312777e-05,"PRM55","FPS",0
"12","1.971000e+004","PB",584493900000,0,0,0,0,"PRM55","FPS",0
"13","1.971000e+004","PB",645420800000,0,0,0,1.802327e-06,"PRM46","FVD",4.201571e-08
"14","1.971000e+004","PB",6.3774e+11,0,0,0,0,"PRM46","FVD",0
"15","1.971000e+004","PB",593420100000,0,0,0,6.312777e-05,"PRM55","FVD",1.922465e-07
"16","1.971000e+004","PB",584493900000,0,0,0,0,"PRM55","FVD",0
"17","1.971000e+004","PB",645420800000,0,0,0,1.802327e-06,"PRM46","FVV",2.310991e-12
"18","1.971000e+004","PB",6.3774e+11,0,0,0,0,"PRM46","FVV",0
"19","1.971000e+004","PB",593420100000,0,0,0,6.312777e-05,"PRM55","FVV",1.091707e-11
"20","1.971000e+004","PB",584493900000,0,0,0,0,"PRM55","FVV",0
"21","1.971000e+004","PB",645420800000,0,0,0,1.802327e-06,"PRM46","FVS",6.076266e-12
"22","1.971000e+004","PB",6.3774e+11,0,0,0,0,"PRM46","FVS",0
"23","1.971000e+004","PB",593420100000,0,0,0,6.312777e-05,"PRM55","FVS",1.012953e-11
"24","1.971000e+004","PB",584493900000,0,0,0,0,"PRM55","FVS",0
"25","1.971000e+004","PB",645420800000,0,0,0,1.802327e-06,"PRM46","FVB",8.03198e-13
"26","1.971000e+004","PB",6.3774e+11,0,0,0,0,"PRM46","FVB",0
"27","1.971000e+004","PB",593420100000,0,0,0,6.312777e-05,"PRM55","FVB",7.877354e-12
"28","1.971000e+004","PB",584493900000,0,0,0,0,"PRM55","FVB",0
"29","1.971000e+004","PB",645420800000,0,0,0,1.802327e-06,"PRM46","FVT",8.017343e-11
"30","1.971000e+004","PB",6.3774e+11,0,0,0,0,"PRM46","FVT",0
"31","1.971000e+004","PB",593420100000,0,0,0,6.312777e-05,"PRM55","FVT",3.328636e-10
"32","1.971000e+004","PB",584493900000,0,0,0,0,"PRM55","FVT",0
"33","1.971000e+004","PB",645420800000,0,0,0,1.802327e-06,"PRM46","FVO",3.845226e-11
"34","1.971000e+004","PB",6.3774e+11,0,0,0,0,"PRM46","FVO",0
"35","1.971000e+004","PB",593420100000,0,0,0,6.312777e-05,"PRM55","FVO",8.929092e-11
"36","1.971000e+004","PB",584493900000,0,0,0,0,"PRM55","FVO",0
"37","1.971000e+004","PB",645420800000,0,0,0,1.802327e-06,"PRM46","FMM",1.354149e-15
"38","1.971000e+004","PB",6.3774e+11,0,0,0,0,"PRM46","FMM",0
"39","1.971000e+004","PB",593420100000,0,0,0,6.312777e-05,"PRM55","FMM",2.095973e-15
"40","1.971000e+004","PB",584493900000,0,0,0,0,"PRM55","FMM",0
"41","1.971000e+004","PB",645420800000,0,0,0,1.802327e-06,"PRM46","FMN",1.818313e-14
"42","1.971000e+004","PB",6.3774e+11,0,0,0,0,"PRM46","FMN",0
"43","1.971000e+004","PB",593420100000,0,0,0,6.312777e-05,"PRM55","FMN",1.237174e-14
"44","1.971000e+004","PB",584493900000,0,0,0,0,"PRM55","FMN",0
"45","1.971000e+004","PB",645420800000,0,0,0,1.802327e-06,"PRM46","FBP",8.285351e-15
"46","1.971000e+004","PB",6.3774e+11,0,0,0,0,"PRM46","FBP",0
"47","1.971000e+004","PB",593420100000,0,0,0,6.312777e-05,"PRM55","FBP",4.52183e-15
"48","1.971000e+004","PB",584493900000,0,0,0,0,"PRM55","FBP",0
"49","1.971000e+004","PB",645420800000,0,0,0,1.802327e-06,"PRM46","FDD",0
"50","1.971000e+004","PB",6.3774e+11,0,0,0,0,"PRM46","FDD",0
"51","1.971000e+004","PB",593420100000,0,0,0,6.312777e-05,"PRM55","FDD",0
"52","1.971000e+004","PB",584493900000,0,0,0,0,"PRM55","FDD",0
"53","1.971000e+004","PB",645420800000,0,0,0,1.802327e-06,"PRM46","FDE",0
"54","1.971000e+004","PB",6.3774e+11,0,0,0,0,"PRM46","FDE",0
"55","1.971000e+004","PB",593420100000,0,0,0,6.312777e-05,"PRM55","FDE",0
"56","1.971000e+004","PB",584493900000,0,0,0,0,"PRM55","FDE",0
"57","1.971000e+004","PB",645420800000,0,0,0,1.802327e-06,"PRM46","FDS",8.385574e-13
"58","1.971000e+004","PB",6.3774e+11,0,0,0,0,"PRM46","FDS",0
"59","1.971000e+004","PB",593420100000,0,0,0,6.312777e-05,"PRM55","FDS",3.149615e-12
"60","1.971000e+004","PB",584493900000,0,0,0,0,"PRM55","FDS",0
"61","1.971000e+004","PB",645420800000,0,0,0,1.802327e-06,"PRM46","FDM",2.358675e-11
"62","1.971000e+004","PB",6.3774e+11,0,0,0,0,"PRM46","FDM",0
"63","1.971000e+004","PB",593420100000,0,0,0,6.312777e-05,"PRM55","FDM",2.545023e-11
"64","1.971000e+004","PB",584493900000,0,0,0,0,"PRM55","FDM",0
"65","1.971000e+004","PB",645420800000,0,0,0,1.802327e-06,"PRM46","FDP",1.186934e-12
"66","1.971000e+004","PB",6.3774e+11,0,0,0,0,"PRM46","FDP",0
"67","1.971000e+004","PB",593420100000,0,0,0,6.312777e-05,"PRM55","FDP",1.011955e-11
"68","1.971000e+004","PB",584493900000,0,0,0,0,"PRM55","FDP",0
"69","1.971000e+004","PB",645420800000,0,0,0,1.802327e-06,"PRM46","FDB",0
"70","1.971000e+004","PB",6.3774e+11,0,0,0,0,"PRM46","FDB",0
"71","1.971000e+004","PB",593420100000,0,0,0,6.312777e-05,"PRM55","FDB",0
"72","1.971000e+004","PB",584493900000,0,0,0,0,"PRM55","FDB",0
"73","1.971000e+004","PB",645420800000,0,0,0,1.802327e-06,"PRM46","FDC",0
"74","1.971000e+004","PB",6.3774e+11,0,0,0,0,"PRM46","FDC",0
"75","1.971000e+004","PB",593420100000,0,0,0,6.312777e-05,"PRM55","FDC",0
"76","1.971000e+004","PB",584493900000,0,0,0,0,"PRM55","FDC",0
"77","1.971000e+004","PB",645420800000,0,0,0,1.802327e-06,"PRM46","FDO",6.095701e-10
"78","1.971000e+004","PB",6.3774e+11,0,0,0,0,"PRM46","FDO",0
"79","1.971000e+004","PB",593420100000,0,0,0,6.312777e-05,"PRM55","FDO",1.09926e-09
"80","1.971000e+004","PB",584493900000,0,0,0,0,"PRM55","FDO",0
"81","1.971000e+004","PB",645420800000,0,0,0,1.802327e-06,"PRM46","FDF",0
"82","1.971000e+004","PB",6.3774e+11,0,0,0,0,"PRM46","FDF",0
"83","1.971000e+004","PB",593420100000,0,0,0,6.312777e-05,"PRM55","FDF",0
"84","1.971000e+004","PB",584493900000,0,0,0,0,"PRM55","FDF",0
"85","1.971000e+004","PB",645420800000,0,0,0,1.802327e-06,"PRM46","SHB",5.515848e-09
"86","1.971000e+004","PB",6.3774e+11,0,0,0,0,"PRM46","SHB",0
"87","1.971000e+004","PB",593420100000,0,0,0,6.312777e-05,"PRM55","SHB",1.510629e-08
"88","1.971000e+004","PB",584493900000,0,0,0,0,"PRM55","SHB",0
"89","1.971000e+004","PB",645420800000,0,0,0,1.802327e-06,"PRM46","SHD",3.056557e-13
"90","1.971000e+004","PB",6.3774e+11,0,0,0,0,"PRM46","SHD",0
"91","1.971000e+004","PB",593420100000,0,0,0,6.312777e-05,"PRM55","SHD",1.533904e-12
"92","1.971000e+004","PB",584493900000,0,0,0,0,"PRM55","SHD",0
"93","1.971000e+004","PB",645420800000,0,0,0,1.802327e-06,"PRM46","SHC",0
"94","1.971000e+004","PB",6.3774e+11,0,0,0,0,"PRM46","SHC",0
"95","1.971000e+004","PB",593420100000,0,0,0,6.312777e-05,"PRM55","SHC",0
"96","1.971000e+004","PB",584493900000,0,0,0,0,"PRM55","SHC",0
"97","1.971000e+004","PB",645420800000,0,0,0,1.802327e-06,"PRM46","SHP",4.658834e-12
"98","1.971000e+004","PB",6.3774e+11,0,0,0,0,"PRM46","SHP",0
"99","1.971000e+004","PB",593420100000,0,0,0,6.312777e-05,"PRM55","SHP",1.178052e-11
"100","1.971000e+004","PB",584493900000,0,0,0,0,"PRM55","SHP",0
"101","1.971000e+004","PB",645420800000,0,0,0,1.802327e-06,"PRM46","SHR",1.057264e-13
"102","1.971000e+004","PB",6.3774e+11,0,0,0,0,"PRM46","SHR",0
"103","1.971000e+004","PB",593420100000,0,0,0,6.312777e-05,"PRM55","SHR",2.419022e-14
"104","1.971000e+004","PB",584493900000,0,0,0,0,"PRM55","SHR",0
"105","1.971000e+004","PB",645420800000,0,0,0,1.802327e-06,"PRM46","SSK",5.54572e-08
"106","1.971000e+004","PB",6.3774e+11,0,0,0,0,"PRM46","SSK",0
"107","1.971000e+004","PB",593420100000,0,0,0,6.312777e-05,"PRM55","SSK",1.448487e-06
"108","1.971000e+004","PB",584493900000,0,0,0,0,"PRM55","SSK",0
"109","1.971000e+004","PB",645420800000,0,0,0,1.802327e-06,"PRM46","SB",0
"110","1.971000e+004","PB",6.3774e+11,0,0,0,0,"PRM46","SB",0
"111","1.971000e+004","PB",593420100000,0,0,0,6.312777e-05,"PRM55","SB",0
"112","1.971000e+004","PB",584493900000,0,0,0,0,"PRM55","SB",0
